#{"t_start": 1652937493.502757, "env_id": "LunarLander-v2"}
r,l,t
-78.205002,71,0.269722
-66.899085,67,0.498355
-377.869396,101,0.857821
-475.047689,102,1.194378
-256.142931,113,1.564445
-434.043294,87,1.840795
-139.35907,129,2.267131
-185.673676,110,2.637249
-50.313108,81,2.938075
-71.309831,80,3.228964
-167.965541,108,3.649139
-429.899996,95,3.95188
-94.753939,96,4.298142
-78.370697,132,4.766554
-142.002839,70,5.008143
-108.569476,72,5.271844
-60.932622,83,5.574242
-398.871396,103,5.938848
-330.09599,130,6.485092
-87.80196,107,6.860094
-116.47163,97,7.34379
-66.980914,140,7.836281
-59.501776,93,8.267502
-146.984043,76,8.631176
-178.683283,128,9.178799
-135.915163,84,9.510884
-94.847899,79,9.77823
-87.601554,109,10.147467
-145.381924,120,10.601952
-62.989546,101,10.97709
-118.919052,130,11.513303
-37.700587,82,11.780005
-80.898227,110,12.191609
-75.631695,110,12.551586
-66.421542,151,13.110511
-49.046457,129,13.556787
-60.12094,142,14.046199
-107.071316,94,14.391638
-193.471395,131,14.924074
-66.579636,99,15.303921
-81.137784,71,15.580027
-60.029024,123,16.017226
-97.552875,127,16.483644
24.406702,179,17.127234
-72.631007,81,17.420698
-42.042298,118,17.864017
-49.348481,107,18.225108
-47.483926,60,18.503043
-171.239888,144,19.076144
-155.639423,258,20.009536
-84.321487,189,20.695905
-4.601851,246,21.712467
-38.10993,128,22.243733
-25.764937,97,22.678411
-33.937569,92,23.026744
-11.171134,255,24.150608
-26.58515,101,24.600594
1.261468,108,25.163199
-12.249676,198,25.918635
9.586983,316,27.200161
13.598169,138,27.825634
-210.393208,875,33.193919
-59.34547,153,34.560552
-21.405479,189,35.793739
12.976546,139,36.503058
-29.96215,132,37.178826
-266.488398,984,45.237546
-167.213969,496,48.398354
-179.448056,520,51.348575
-173.490343,551,55.116614
-176.075894,458,58.747347
-184.121329,494,62.922122
-4.730859,109,64.101941
-143.52009,409,68.084645
-242.903652,783,73.605413
-13.074978,1000,80.861768
-110.599662,415,84.255972
-174.064425,744,90.656144
-121.976539,1000,98.247171
-29.922467,1000,103.939805
-46.790779,1000,109.916678
12.658749,1000,115.931614
28.712933,1000,122.536233
6.193462,1000,129.172473
-3.929672,1000,135.751622
6.409603,1000,141.481863
-3.876646,1000,148.014113
0.966467,1000,154.58949
-30.073734,1000,161.808277
12.987739,1000,168.357658
-127.849492,296,169.833145
45.665316,1000,176.055892
-38.700388,1000,182.717506
194.859353,976,188.431295
15.472834,1000,194.758108
0.25278,1000,201.235543
38.430088,1000,207.654686
239.247914,573,211.201573
-66.70703,1000,217.628122
-30.671879,1000,223.841142
253.936856,693,227.699736
46.988429,1000,233.201421
226.845858,661,236.958473
221.512398,293,238.468222
-1.475955,120,239.031507
0.718272,199,239.950139
284.021044,927,245.20974
297.561023,853,249.759733
115.154651,1000,255.223978
208.521791,992,260.608792
23.784421,182,261.552635
-27.382448,513,264.891139
141.053555,1000,270.830722
232.623415,857,275.688749
272.027081,258,277.090559
128.807131,1000,282.683659
266.976459,238,283.801539
238.097875,261,285.043241
177.695199,1000,290.357117
269.62692,551,293.26099
160.546739,1000,298.490372
120.877892,1000,303.884128
276.162721,721,307.643663
282.598969,313,309.257948
259.339796,347,310.96454
231.196804,936,315.982321
11.071982,192,316.905391
-19.695903,106,317.405399
6.224903,106,317.890864
131.761117,1000,323.479295
222.115925,722,327.298072
174.159665,1000,332.801367
270.925371,642,336.308808
242.348742,308,337.834042
273.921861,439,340.131759
244.138418,640,343.559508
9.431856,103,344.053464
301.704833,383,346.073752
52.769761,101,346.576193
263.441185,547,349.492814
-10.920068,185,350.395704
316.226218,258,351.776559
241.232397,411,354.005272
148.260243,1000,359.842552
243.404059,749,364.613535
262.237949,454,367.137987
74.148558,147,367.861429
214.017104,492,370.573331
211.088133,727,374.73314
249.491417,478,377.34198
115.998117,1000,382.823497
255.34239,214,384.013838
242.383555,355,386.107646
139.840584,1000,392.632533
282.27747,297,394.379659
72.958581,133,395.038684
49.273192,140,395.760051
293.130714,587,398.926017
56.202359,137,399.676553
265.212856,767,404.274255
260.29436,327,405.999644
240.174019,689,410.192663
267.222963,370,412.186559
232.404657,589,415.73262
274.033313,258,417.096051
-6.482149,347,418.987313
251.808198,622,422.574406
246.935141,839,427.498605
262.758851,933,432.729501
9.212431,147,433.477666
119.193646,1000,439.598163
266.927633,834,444.197086
260.667211,896,449.269713
-23.06695,1000,456.247327
142.693614,1000,462.046266
251.85192,501,464.896423
-252.006327,138,465.558634
244.663309,674,469.554294
232.831843,411,471.700163
259.040239,930,476.653929
222.511093,516,479.708439
6.126999,151,480.432922
253.826387,900,485.754466
253.685697,436,488.134846
158.420355,1000,493.565255
266.691581,759,498.189273
251.713191,817,503.093531
283.591062,528,505.796982
227.507531,337,507.796849
152.339976,1000,513.436453
274.643623,412,515.638417
-260.630795,620,519.134364
290.939065,450,521.536335
98.191427,1000,527.683148
279.407274,242,528.917622
156.316161,1000,534.917745
251.10142,203,535.988817
157.063371,1000,541.5141
295.654913,308,543.0501
243.167252,246,544.293556
293.503241,335,546.140271
129.873785,1000,551.78139
236.998081,482,554.406653
163.048054,1000,560.258485
287.427186,303,561.844358
231.65436,353,563.810285
256.638199,831,568.630829
295.150076,259,570.002125
245.71938,672,573.521658
235.992615,495,576.294677
271.716119,525,579.013797
249.60138,236,579.460015
217.791404,256,579.589028
227.301971,660,580.151185
222.356016,659,580.844318
186.427979,303,581.012879
224.315441,548,581.512105
-99.054549,614,581.89891
220.167634,404,582.177419
265.754291,178,582.248906
241.061129,350,582.517785
237.846382,178,676.66502
