#{"t_start": 1652097607.303306, "env_id": "LunarLander-v2"}
r,l,t
-93.835115,84,0.036711
-110.896293,97,0.062496
-188.641328,155,0.107915
-96.235521,108,0.132718
-359.660031,106,0.172302
-104.531496,85,0.20554
-150.563581,73,0.232533
-86.360526,122,0.277325
-424.653708,120,0.342018
-270.389311,106,0.502224
-350.511649,87,0.52896
-396.309395,99,0.571087
-126.867252,106,0.626321
-91.503345,58,0.654212
-68.051168,143,0.702455
-322.866343,106,0.745471
-207.097073,143,0.797851
-216.779778,122,0.838943
-150.812989,112,0.89387
-438.402993,93,0.922311
-278.581356,99,0.961237
-133.136268,106,0.985032
-131.707733,110,1.011077
-157.080796,95,1.033016
-175.204141,118,1.082692
-167.089637,111,1.133056
-460.485489,104,1.157814
-69.494183,62,1.179278
-203.919213,92,1.251337
-111.131378,88,1.275256
-384.2685,95,1.304563
36.716403,90,1.341493
-171.529175,154,1.430268
-121.746936,60,1.454675
-299.918749,98,1.505851
-123.940584,150,1.542311
-301.637,82,1.5727
-100.167631,103,1.628426
-206.011868,113,1.736619
-163.19632,116,1.793485
-122.951869,90,1.829965
-100.312487,92,1.853662
-237.917652,106,1.885703
-257.774531,96,1.916552
-134.017236,97,1.946447
-254.351156,93,1.984308
-276.396477,91,2.035432
-430.873398,88,2.066812
-380.347873,102,2.166461
-58.280978,85,2.206921
-201.25319,118,2.256211
-113.63543,74,2.284184
-252.154711,103,2.320774
-272.024536,109,2.356754
-145.53044,74,2.380546
-144.273866,80,2.399267
-300.836425,81,2.426422
-134.622914,76,2.458175
-92.300295,100,2.496608
-440.783501,111,2.56635
-340.781655,89,2.600396
-88.861808,61,2.620494
-58.170016,83,2.64646
-106.80687,146,2.695978
-114.448104,71,2.724739
-109.740099,121,2.760244
-132.804772,80,2.780485
-98.49784,67,2.797782
-96.081142,91,2.826437
-287.303234,138,2.872278
-447.184351,116,2.941284
-276.339346,107,2.972317
-238.270879,68,2.997094
-165.040774,84,3.026501
-83.940555,72,3.051977
-83.26918,61,3.066782
-220.650058,66,3.086832
-31.376291,76,3.115027
-148.112007,79,3.147597
-113.818316,92,3.19079
-249.338706,97,3.243888
-97.456847,63,3.271159
-90.241858,115,3.348398
-154.448508,68,3.381921
-467.062757,117,3.434349
-141.321951,82,3.463205
-202.674377,71,3.491317
-212.190235,103,3.534348
-164.829787,71,3.564832
-396.13864,102,3.614267
-79.156905,71,3.64608
-472.231584,108,3.684237
-188.440589,105,3.729218
-58.467036,81,3.798863
-238.147473,108,3.845513
-126.760212,96,3.881782
-54.425732,139,3.930145
-218.594345,88,3.96752
-150.789118,77,3.989116
-256.003776,103,4.032304
-142.80721,68,4.062088
-212.44768,76,4.085623
-297.938523,81,4.122476
-342.633082,113,4.191003
-372.756451,93,4.233251
-160.424109,111,4.264649
31.290511,138,4.315391
-109.952317,70,4.343902
-346.69546,79,4.382975
-163.379659,75,4.409943
-278.999518,122,4.444662
-279.451009,123,4.475419
-39.219735,87,4.502576
-318.089196,147,4.580782
-132.442335,85,4.610921
-216.439772,120,4.644262
-122.931695,83,4.681072
-328.435463,88,4.713017
-120.699492,93,4.740359
-147.356141,120,4.772885
-85.016313,70,4.799475
-259.009311,75,4.826762
-172.074322,74,4.844738
-131.849281,82,4.870942
-178.848381,90,4.932755
-148.758964,81,4.963078
-93.910016,77,5.006086
-187.886788,68,5.041047
-105.515318,85,5.073872
-41.947174,65,5.097613
-197.095081,87,5.121819
-116.910713,73,5.13998
-187.767807,80,5.169627
-280.436243,93,5.200119
-299.170318,87,5.224178
16.966234,94,5.247897
-134.19288,75,5.278368
-276.680501,107,5.341934
-77.972333,178,5.398102
-106.589833,79,5.418885
-109.396946,63,5.439087
-103.591219,140,5.4894
-141.540546,86,5.516797
-99.963842,59,5.541009
-121.21729,94,5.577625
-419.818354,99,5.608044
-440.839785,102,5.66328
-338.56167,100,5.700361
-104.076131,92,5.737782
-100.866726,69,5.760736
-285.321598,82,5.782359
-477.182642,105,5.809659
-59.750161,117,5.854847
-369.419365,115,5.895077
-171.787108,94,5.927186
-79.076808,98,5.953686
-128.865789,87,5.986488
-382.401892,107,6.05731
-168.856242,81,6.081959
-146.209136,119,6.12529
-109.305896,91,6.175363
-167.830574,80,6.200343
-174.941892,77,6.223682
-108.18908,82,6.250732
-340.004129,86,6.282177
-88.033052,87,6.309142
-193.487511,87,6.330346
-108.00751,114,6.358495
-260.914293,74,6.421755
-270.097662,103,6.471217
-90.896686,65,6.486308
-122.15163,107,6.521721
-155.033058,81,6.545845
-294.956977,79,6.569908
-237.431108,131,6.608924
-121.642158,82,6.63916
-246.6745,96,6.700698
-198.514237,107,6.744728
-521.62915,89,6.76654
-89.950109,69,6.82081
-309.764158,79,6.853595
-308.165446,112,6.889866
-381.842943,90,6.912813
-462.337883,113,6.941696
-167.703924,112,6.983241
-606.836903,96,7.00881
-232.093581,102,7.031889
-79.401141,68,7.048535
-127.705943,69,7.074509
-116.804983,67,7.095265
-104.314538,74,7.142826
